지역,소재부품장비코드,소재부품장비코드명,사업체수,종업원수,부가가치세금액_백만원,생산금액_백만원,출하금액_백만원,재고금액_백만원
울산,부품,20000,502,32812,11591656,32751453,32773968,516401
울산,금속가공제품,21000,71,2382,341431,943193,937791,37015
울산,일반기계부품,22000,127,6225,1295535,3970303,3959126,56283
울산,전기장비부품,24000,70,6740,6836528,12273453,12331570,134747
울산,전자부품,25000,5,445,93337,243178,241196,14394
울산,정밀기기부품,26000,6,113,9158,28007,28642,546
울산,수송기계부품,27000,223,16907,3015667,15293319,15275643,273416
울산,장비,30000,63,1756,276856,711858,706361,21241
울산,정밀가공장비,31000,17,500,86509,300533,297260,14364
울산,반도체·디스플레이장비,33000,40,1064,162146,354854,353402,3551
울산,계측장비,35000,4,135,18780,41367,40595,3326
경남,소재부품장비,00000,3395,147675,25088404,80148370,79695952,3499937
경남,소재,10000,712,30987,6191797,19415533,19204493,1182974
경남,섬유제품,11000,65,1650,172530,495041,490880,55819
경남,화학물질 및 화학제품,12000,119,3363,626682,1959619,1948519,123187
경남,고무 및 플라스틱제품,13000,279,14263,2190685,5627432,5596036,313633
경남,비금속 광물제품,14000,69,1812,226654,545669,529974,63001
경남,1차 금속제품,15000,180,9899,2975246,10787772,10639084,627334
경남,부품,20000,2409,107533,16915192,55023791,54798583,2039991
경남,금속가공제품,21000,501,16806,2572634,8696640,8567271,403489
경남,일반기계부품,22000,883,32587,4566822,14772756,14771855,512191
경남,전기장비부품,24000,256,13068,2375293,6853223,6790819,304575
경남,전자부품,25000,67,5374,915794,2621772,2604800,100642
경남,정밀기기부품,26000,35,1543,294123,964375,961418,30259
경남,수송기계부품,27000,667,38155,6190526,21115025,21102420,688835
경남,장비,30000,274,9155,1981415,5709046,5692876,276972
경남,정밀가공장비,31000,113,4639,1248940,3770629,3761985,192781
경남,산업공정장비,32000,123,3370,422947,1198050,1196912,36665
경남,반도체·디스플레이장비,33000,8,532,236623,559323,553318,41415
경남,제조로봇 자동화장비,34000,17,376,48243,131497,131828,1470
경남,계측장비,35000,13,238,24662,49547,48833,4641
대전,소재부품장비,00000,493,22528,5032252,10541274,10377422,667656
대전,소재,10000,89,5557,1607453,2953256,2914544,227089
대전,섬유제품,11000,5,71,6299,14621,13693,1487
대전,화학물질 및 화학제품,12000,56,2236,463196,904352,891655,103338
대전,고무 및 플라스틱제품,13000,15,2893,871125,1643013,1610926,99441
대전,비금속 광물제품,14000,3,62,6224,15722,15701,109
대전,1차 금속제품,15000,10,295,260609,375548,382569,22714
대전,부품,20000,290,13517,3012738,6754772,6644313,386383
대전,금속가공제품,21000,37,1872,363024,925999,955500,26857
대전,일반기계부품,22000,71,2942,319956,758673,749761,34607
대전,전기장비부품,24000,50,1648,283240,723589,713708,39410
대전,전자부품,25000,70,3679,1480510,3187163,3076920,225920
대전,정밀기기부품,26000,29,927,189798,311804,305980,14320
대전,수송기계부품,27000,33,2449,376210,847544,842444,45269
대전,장비,30000,114,3454,412061,833246,818565,54184
대전,정밀가공장비,31000,20,664,65448,139668,140803,9402
대전,산업공정장비,32000,34,926,107645,217622,216449,5125
대전,반도체·디스플레이장비,33000,16,662,112865,232302,225048,18191
대전,제조로봇 자동화장비,34000,8,108,6176,14002,13502,1535
대전,계측장비,35000,36,1094,119927,229652,222763,19931
세종,소재부품장비,00000,134,9260,2226413,5417354,5360294,255865
세종,소재,10000,57,3406,873720,1921370,1872513,160097
